Text,Code,Label,Rank,Relevance
Hate to bring this up but not only would a woman in extreme danger in a combat scenario but they would almost be guaranteed to be raped if captured.,2001005,"crime, law and justice - crime - sexual assault",1,0.052820574
"Retired Army Officer, They where lowering the standards all the way back in the 90s for women. Airborne school for example use to be a serious gut check. But when I went through in 1993 it was a joke.. And the women where always in the front of the run group so we didn't drop them from the formation. The most worthless thing on the battlefield a pregnant female. Not deployable for 9 plus months.. great for readiness.",No categories found,,,
Does combat include jello/mud wrestling?,15072000,sport - wrestling,1,0.18669169
"One standard, change my mind",No categories found,,,
"Lower standards are ok for every role other than combat. This isn't a game, we are looking for killers plain and simple.",No categories found,,,
"All us Gen X girls were taught to bring home the bacon, fry it up in a pan…and wear shoulder pads in our clothes. Regardless, there’s no fkn way I could carry a wounded man to safety…and he would know it. It’s not fair to ask our soldiers to put their lives on the line without giving them a fighting chance to survive. Women are not physically strong enough to be in the foxhole with the guys. It’s not right. Thank you for this. Good God everyone has lost their minds",11007000,politics - human rights,1,0.12361176
"""ok. ok. ok. ok. ok. ok. ok. ok.""... Jesus, does she know any other words?",202 - Engine internal error,,,
"I was infantry. I don't care if the PT standards are the same and some butch chick can pass them. A woman in a combat unit adds nothing to the combat readiness of that unit, that some other guy couldn't. She does however bring a great deal of negatives, and it doesn't matter if you don't like or agree. She is a distraction and a detriment to the unit cohesiveness. The job of combat arms is to close with and destroy the enemy by fire and maneuver. Not to coddle your feelings, or make sure some random woman can become a general easier by allowing her combat experience. Troop welfare has always been secondary to mission accomplishment. Get over it.",202 - Engine internal error,,,
"It was my dream to play for the Yankees,doesn’t mean the Yankees should lower their standards to let me join😂",No categories found,,,
"lots of ""I think"" and ""I Feel"" but no actual argument. Sorry kids, the worlds not nice",No categories found,,,
Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay.,No categories found,,,
Kool-Aid haired black girl was the worst of them all.,No categories found,,,
"I can't hear ""ok"" again",No categories found,,,
"I'm a woman, I am physically fit. I cannot manage one five gallon bucket of paint up a flight of stairs without lifting it to each step and then re-setting to struggle it to the next one. My husband can lift the same heavy bucket with one finger and walk straight up the deck stairs. In combat I'd be a liability, no matter how much I worked out. Fighter pilot yes, ground forces, hell no!",14006000,social issue - family,1,0.09599243
"""I feel like"" facts don't give a shit about how you feel",No categories found,,,
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",7016000,health - physical fitness,1,0.2254774
They have definitely succeeded in dumbing down the younger generations. They are so uninformed and ignorant to reality. It's all about their feelings.,No categories found,,,
"Ok, so Shirley from What’s Happening with the red hair is hearing Crowder But not listening! She is already getting emotional which proves the biggest difference between men and women! And the men she is referring to that are “emotional”are girly boys!!! And to get upset about calling our military BEASTS, come on!!! That is a good thing!",11001000,politics - defence,1,0.1376851
"I want to bring another point to the argument. I’m a woman who served in Iraq (not in a combat role) and worked with a man who was in a convoy with a female. The enemy found out she was there, and targeted her. The objective was to demoralize the men and unfortunately, it worked. She was taken out and they were weaker because of it. My best friend (female) who served in Iraq went to dinner downtown and someone attempted to kidnap her. She only got away because her driver was special forces, knew the roads and was trained to handle this particular situation. In certain trainings they simulate torture and often separate women, but not fully out of earshot of the men, so they can hear what’s happening and break their spirits. I would argue it’s not even enough to match the men physically because women become targets in multiple ways. I’m not sure what that would look like for a female physically, but there is a mental aspect in war that is put upon men that just isn’t worth it in my opinion.",16009000,"unrest, conflicts and war - war",1,0.22392274
"Lets get ready to Rumble!!!love this. I agree with you, Steven 100%",14006006,social issue - family - courtship,1,0.052614015
"So it breaks down to the same argument as always... Steven has stats and facts, people who disagree have feelings.",No categories found,,,
There is a reason that back in the day only men were in combat roles. We have pussified our country and military in the name of equality and its pathetic we go along with it.,11001000,politics - defence,1,0.1997861
"I enjoy Crowders ""Change My Mind"" segments. One of my favorite things.",No categories found,,,
❤️change my mind,1026004,"arts, culture and entertainment - mass media - reviews",1,0.05506042
Woman should be in combat because it makes for great videos. I want to see the red headed black chick try to stop a George Floyd. Welcome to the 2022 clown world.,No categories found,,,
Ahoy!!! Ok let's see how many libs complain about this lol.,No categories found,,,
"Crowder talks about military and police, but firefighters are another issue. They are required to run up stairs with lots of gear on, break down doors, pick up, and carry people.",3012000,disaster and accident - relief and aid organisation,1,0.10475025
"Black chick was SO frustrating. I wouldn't have been able to maintain a respectful attitude once she said ""You need to do your research then and blah blah"" because this dumb b*tch didn't do a damn bit of research and still kept arguing about how she ""feels"" for like 15 minutes before that point.",13006000,science and technology - research,1,0.06232947
"I am former military. I have many friends that are former, and active. There is a hidden hatred on the special treatment that women get in the branches. That could be why recruitment is low with men? I have had a few people tell me some of the unawarded medal's given to women, just because they are women. Women being sent back to barrack's, while the men stay out in the field, during training mission's. The military spent MANY years building up pride, tradition, valor, and honor. Completing a rigorous training, with your fellow (in my case, shipmates), the teamwork, trust, loyalty, creates something magical. A brotherhood. You need to have that confidence, when in a combat situation. Knowing the females slid in, with lower standards, ruins that. There is no respect. It seems that outside interest's, are manipulating our inner working's of the military, to make us weaker?",11001000,politics - defence,1,0.57677084
Where is Hotlips Houlihan,No categories found,,,
Commenting as a female Army veteran I agree. What we can do are the support jobs (I was a military journalist) to free up the men for combat. It's hard enough in the military with the female-male dynamic without adding combat to the equation.,11001000,politics - defence,1,0.8331872
let's go!!,1026004,"arts, culture and entertainment - mass media - reviews",1,0.05332468
"My sister was a Police officer for 20 years. She had to pass the exact same physical testing that a man would have, or she was out. Thats the way it should be and unfortunately it isnt anymore",No categories found,,,
"First some of these people go round and round contradicting themselves trying to look like the smartest person at the table. I don't know how Steven doesn't lose it. Second, I was in the military. There is no way women should be in combat or in the elite forces. Not just based on physical strength but also because men have an inherent impulse to protect women at all costs.",11001000,politics - defence,1,0.21001755
"I was in the military. I retired from it and I have no respect for women in the military. They are smart and capable of many things men can't do. But the ripe the moral and cohesion of every unit they are present including the legal career ending risks of an unsubstantiated accusations that have destroyed hundreds if not thousands of careers of men. Here is one reason among many, women lie. Yes they do and for very selfish reasons. I have seen them gang up on a guy they don't like with lying to get them court martialed out of the service. As well as lying about being pregnant or getting pregnant to get out of a deployment. I was on a ship that had berths for 30 women. We routinely got underway of deployment with only one woman. This doubles and triples the load on the men. We were routinely sleep deprived. We would return to base, the women left at home come back and still got sea pay for staying home. Not fair. In addition, any woman in the room outranks every male nt matter what their rank. They also enlist men and boys to help women do their jobs. They are a distraction to the mission as the point of all missions devolves into protecting the woman. Mission be damned. This is not including the demographic destruction of the population by putting child bearing aged women at risk. Women have one kid at a time. Society needs more women than men to keep thier population. By putting women into an early grave to win a war you lose the demgraphic war, which is the same as losing.",11001000,politics - defence,1,0.84049904
"Letting someone into a position based on religion, sex, blah blah is the same discrimination as turning someone away. The constitution protects the institution as well as the citizen. An employer does not have to hire you because you are a black gay jewish combat lesbian.",14025003,social issue - social issues (general) - discrimination,1,0.09051985
"Her: ""Im not going to believe anything you say until I see that statistics""

Steven: ""Oooook""

In her mind: O no!",No categories found,,,
The red hair black girl is like so many ppl these days. Doesnt like the statement Steven presented. Unwilling to listen and reason,15054000,sport - soccer,1,0.06059722
"I was in the military, women should have very limited roles in the military. We were deploying to Iraq, walking off the c5 in country and a woman in our company couldn’t carry her own bags. We were all carrying a ruck sack, a weapon, and 2 duffle bags. She couldn’t carry her own shit. All her stuff got carried by the guys carrying their own shit. She walked around with her weapon.",16012000,"unrest, conflicts and war - weaponry",1,0.053200893
"That second girl, Ploy...my God. She just talked around the fundamental issue - men are bigger, stronger, and faster. No amount of training will overcome that gap. And we haven't even talked about group cohesion. According to studies from the military, all male units accomplish tasks faster than male/female units.",11001000,politics - defence,1,0.19700125
The problem is.gov programs replacing fathers with zero accountability for destructive female behavior.,No categories found,,,
the problem with modern women is 4s think they are 14s and they deserve the top 1% of men instead of a good man,No categories found,,,
"Women today do not know what a woman is supposed to be, they are to busy trying to be like men.",No categories found,,,
"Media has taught women that they have been steamrolled for years and they must dominate. They honestly feel that they are everything and men should fight to the death just to be in there presence. In short...they are full of themselves and see themselves as an object that all men desire. This of course is a generalization. I know wonderful women that absolutely deserve to be treated like a queen. BUT they are always married, and happily married I might add. Women are like parking spots at Walmart. All the good ones are taken and all that is left is the handicapped.",8005002,human interest - society - death,1,0.0899971
Never go to Hawaii with a woman who forgets her bi-polar meds .,No categories found,,,
If you think 22-32 can pass quickly----wait until you are 60 and al of a sudden you're 80! A lifetime passes so very quickly it's unimaginable!,No categories found,,,
The guest is a feminist as well with her high status requirements. Their isn't enough top 5-10% chads to go around.,No categories found,,,
"On Thanksgiving the topic came up at the table why I'm not married yet(40, and very stable), because my mom really wants grandchildren, and it's next to impossible to explain to a table of elders that modern women are just intolerable.",14006000,social issue - family,1,0.12439283
"On a single sheet of paper, define yourself in two ways: 1) Who do you credibly intend to be as a person? 2) What do you credibly intend to do with your life, in general terms? If you do this well, and live out your life in accord with your personal mission statement, you will have plenty of opportunities with other quality people. Choose wisdom. Choose honor. Choose integrity.",No categories found,,,
Modern women have this obsession with dressing like prostitutes. Can't watch a video without seeing these sleazy women wearing their tank tops exposing as much flesh as they can. Modern women have lost any and all feminine beauty! A big part of feminine beauty is modesty which is completely lost on the whores that make up the bulk of our society.,14013000,social issue - prostitution,1,0.09891817
"The Establishment Media is out to break Humanity any way they can, driving people apart and making us easier to control by a tiny elite class of.... aristocrats. Yes, the same old crap has risen once again. IMHO, it is not Marxism that is the foundation of the Left, it is FEAR. Fear of the people all around them. This is why ordinary people are portrayed as dumb, panicky beasts on TV and in movies. This is why CRT is used to kids fear & despise each other AND feel bad about themselves based on the color of their skin. The Establishment is trying to make us see each other the same way they do; monsters. This insanity only gets worse and louder, and making Women & Men repulsive to each other is one of their oldest tricks. It also discourages reproduction, and this kind of Malthusian evil is so near & dear to Leftists that they just go right along with it. A serious problem is right in our faces, and anyone will be lucky to get through the next 5 years alive.",2007000,"crime, law and justice - justice and rights",1,0.12772362
jedediah...what is your take on election fraud?,11003000,politics - election,1,0.15084037
"The problem with EVERYONE, is that the Media tells them what to think, and they're so lazy, that they consent to mental slavery.",14021000,social issue - slavery,1,0.10694534
"Ladies... men ARE masculine but hide it because it's, as you stated, negatively viewed by society.",No categories found,,,
Women used to subtlely build their men into greatness but now they often browbeat them into submission! :-(,1022000,"arts, culture and entertainment - culture (general)",1,0.057034306
"Biden's SEC is corrupt too Does it not seem strange google, Amazon, twitter ... were not bothered by the sec: all woke companies but Elon who owns twitter wanting to make it non woke and trump who has truth social non woke are both under attack from the sec",1027000,"arts, culture and entertainment - internet",1,0.11320906
"I think women watch and listen to too much media and don't live in reality, the knight on the White horse with the 6 figure salary ain't coming, especially to 35 and up women with a kid or kids and single men do not want to deal with women's kids and the trip their on. Life is too short, I'm single in my 50s, never been married, I almost was twice and I thank God it never happened! I would of been miserable, all my friends who got married are divorced and I would watch them fall apart and I was like this is not for me. It was the best decision of my life. I'm totally free and it's beautiful and I don't put up with anyone's bullshit, especially women who think they are a 10 on the outside but are a one on the inside.",14024001,social issue - people - children,1,0.09392408
"Next episode ""The Problem with Modern Man"" I look forward to seeing how High on the pedestal you put yourself... Humans, You have much to learn, it's embarrassing! Beings from the Billions of other Universes see how dumb carbon units are! UGH! YOUR NOT TRANSCENDING you're transforming.... Men to Women Women into Men & Now Mutilation of the Children! Sick Lot! GREAT! 😖",7001000,health - disease,1,0.085054345
Their problem is that modern women want to be entitled women with what they think are men's benefits without having to actually earn anything!,No categories found,,,
"I don't think that men need to, as you say, ""get in the gym"". I think men just need to be men. And women just need to be women. It's not a competition, just be who you are.

",8003003,human interest - people - accomplishment,1,0.06185476
"Wife walks into a lawyers office and says she wants a divorce. Lawyer says, ok here's what you need to do in order to reap the most alimony, and for at least six months. Make him breakfast and dinner every day. Press his clothes. Meet him at the door coming home from work, and cater to his every need and demand being overly attentive. She agrees.

Six months later she went back to the office, lawyer asks if she's ready ~ to which she replied No Way! I would never divorce such a perfect man and I've never been more happy in my life!

There's a moral to this story.",2002000,"crime, law and justice - judiciary (system of justice)",1,0.483743
"Women are losing there virginity for stupid reasons, then being alone in their last 50-60 yrs. They should sell it for 5 million bucks to a guy and possibly marry him and have his children and be happy for her life, but whatever.",14006000,social issue - family,1,0.06565369
I wouldnt feel bad at all for these ignorant people. if they just sit there and shovel a bunch of garbage into their mind without actually doing their own research they deserve it!,No categories found,,,
"Layah, thank you for not wearing fake eyelashes. It brings credibility to you.",No categories found,,,
"Problem With Modern Women. Major problem is that in today's society, modern women is that they are lazy and are not dating enough in develop the proper people skills when determining how to find the right man. Instead, they rely on phony characteristics such as wealth, fame, status and power as factors instead of compatibility.",11007000,politics - human rights,1,0.15986906
Who is Andrew Tate? I just can't follow this show. 😕,No categories found,,,
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",7001000,health - disease,1,0.46754292
Body count of 15 or 20 for women??? Don't kid yourselves ... more like 100+ and plenty in their mid-20s; lots of self-admittance online confirming this!,No categories found,,,
"Ok, here's some ""steel, sharpening steel"" here. Laylah, you mentioned the importance of not wearing too much makeup, as expressed by your brother -with your agreement. But after hearing you drop the F bomb, so casually, several times during the interview, I turned off said interview. You see, there are many, quality men who may even overlook the application of an excessive amount of makeup, but for whom the nonchalant use of foul language may actually be the real deal breaker.",No categories found,,,
These two women have no idea how not traditional they are.,8000000,human interest,1,0.07720485
have to look up Andrew Tate! never heard of him.,No categories found,,,
"Women are powerful. Our power comes from our influence. We can make a man get weak at the knees. we can make a man cheat. We can make a man cut his hair as in Samson. We can use our influence to make men better or make them weaker. Today's women want to emasculate men, just like woman with Samson. But we can also use our power to make the world a better place.",1009000,"arts, culture and entertainment - library and museum",1,0.10109813
"You women claiming there aren't any good man, 'modern women' are foolishly against men while claiming men should be like Tate (because he's rich and in shape or ""manly""); makes you no better than the modern woman... ""men should learn from Tate""...? really? Tate is a selfish person, granted alpha, but you want that for yourself? more rich men sleeping around with ""16 women""(A. Tate) a week? You're making the same agreement as modern woman with a slight ""pick me"" hint. This is the reason men haven't listen to women since Adam and Eve.",1009000,"arts, culture and entertainment - library and museum",1,0.105966784
Layah Heilpern is delightful. Maybe the worm is finally turning. The last few decades have sucked for white men especially.,No categories found,,,
male emotions are like female sexuality . what one gender wants from the other but a turn off if to open with them,No categories found,,,
what about married women who don't enjoy sex,14006005,social issue - family - sex,1,0.26506627
the how emotional connection affect male sexual desire,14006000,social issue - family,1,0.12597138
ever heard of spontaneous arousal syndrome in women,7001000,health - disease,1,0.12112572
The same questions would show the ignorance of people regarding President Donald Trump.,8003002,human interest - people - celebrity,1,0.09264836
Both of them are beautiful perky pistols of women! Not a lot of them left in the world! :-),No categories found,,,
"Thank you for your depth of comprehension, regarding the WEF, and the necessity for national sovereignty. US Cultural Ambassador Darryl John Kennedy https://rumble.com/v1waibu-darryl-john-kennedy-message-to-americans-november-22-2022.html",No categories found,,,
nice job gals.,9003004,labour - employment - occupations,1,0.05727177
The problem with modern women is modern men …,4006019,"economy, business and finance - financial and business service - personal income",1,0.08085069
"I always looked gay, I was never rich as I was focused on my spiritual inner self first. Now at 65 I have it all, house car 5/10, great smile, done a bunch of things in my life. All the girls that left me were not red pilled, and are totally wishing they could have me back.",15019000,sport - cycling,1,0.09657149
Women are equipped to be hoes.,No categories found,,,
Repulsive right out of the gate.,No categories found,,,
"I personally believe it’s not just a social demographic issue of brainwashed men. There’s a lot of reasons that impact a man’s masculinity. By this, I mean there are also biological factors that effect men physiologically such as chemical infested foods, estrogen in the water, plastics, normalizing low levels of testosterone, pornography, etc. Not only are men targeted psychologically but also biologically as mentioned. People target only the psychological aspect but don’t look how nutrition can massively influence the state of mind in a person. With all this estrogen rising through foods, self-care products, and household items is not just causing hormonal imbalances but also detrimental results on overall health I.E. fertility, developmental problems, and cancer.",14025002,social issue - social issues (general) - social problems,1,0.14744204
When propaganda comes women are the first to fall. True!!! (not all women though),14000000,social issue,1,0.059621938
Blabba lab a dabba jabber jabber jabber blabber..,No categories found,,,
The problem with modern day women is they dont know what men really think of them. Otherwise they would all be lesbians .,No categories found,,,
"the left claims to champion women's rights, it took you long enough to figure out they are full of shit",2007000,"crime, law and justice - justice and rights",1,0.09467968
why you stay 10 years? why not leave sooner if you felt so strongly about it? the answer is greed.,No categories found,,,
"CNN has men? The ""male"" anchors there are homosexuals.",202 - Engine internal error,,,
Love tucker!,202 - Engine internal error,,,
Every white man at CNN should resign and give his job to a minority woman. I'll wait...,202 - Engine internal error,,,
LOL. I'm glad Carlson maintains his sense of humor. Nobody should watch that CNN propaganda network. No one in America anyway.,202 - Engine internal error,,,
OMG! Tucker is a savage. Nailed the stupidity better than anyone ever could. epic,202 - Engine internal error,,,
spot on with your commentary these people are frauds and grifters for the communist left its fun to watch these people eat there own ibet in ten years shes a millionare and loving every minute of it useful idiots the lot of them,202 - Engine internal error,,,
"A couple of months ago, a female anchor of 22 years in Phoenix, decided she couldn't take it anymore. She cited blatant lying and fear-mongering, on the part of the media elites, as her reason for leaving. Most in the media are not this brave. I wish they were.",202 - Engine internal error,,,
CNN Is A Full Stank Septic Tank .,202 - Engine internal error,,,
"""Ur damn right baby"" lmfao",202 - Engine internal error,,,
Don't watch it.,202 - Engine internal error,,,
"only Tucker can do this, this well",202 - Engine internal error,,,
Tucker Carlson is hilarious! 🤣 Communist News Network is run by men because everything is run by men.,202 - Engine internal error,,,
OK - is it a SIGN OF THE TIMES THAT I AM LAUGHING WAAAAAAY TOO MUCH AT THIS? Well it is either LAUGH or Cry these days and I would rather LAUGH when I get the chance. I have not listened to CNN for years..,202 - Engine internal error,,,
"😂🤣😂 Tucker my man, you lit them up 😂🤣😂",202 - Engine internal error,,,
omg this was great,202 - Engine internal error,,,
I hate CNN.,202 - Engine internal error,,,
Tucker For President,202 - Engine internal error,,,
"Jussie Smollett, Don Lemon and Bubba Wallace all work for China News Network..",202 - Engine internal error,,,
"Two comments. First of all, Brooke Baldwin is a man-hating Marxist propagandist. Because she is not a journalist, she is entirely incompetent to fill the role of a journalist. Second comment. The posit on Zucker isn't that far off. I mean just really, I imagine that all leftist male filth are not only beta male submissives but actually look themselves in the mirror every morning and ask the question is this the day I ""transition"" to a female.",202 - Engine internal error,,,
"Weird!! Most of the so called men on CCPCNN are homosexuals, and Mr. Potato-head is a closet homosexual.",202 - Engine internal error,,,
Brooke Baldwin's new book coming soon and she gets 4mil up front lol just a prediction.,202 - Engine internal error,,,
"""MY MOTHER IS A MAN.""
""MY CAT IS A MAN.""

Doctors say her physical ailment is Advanced Special Snowflake Disorder with complications due to Participation Trophy Syndrome.",202 - Engine internal error,,,
"So what? Get over it. At least you have a job and your protected by a bunch of corrupt people. Get lost, we don't want to hear your problems. The real problems is the stolen election and what's happening at the border.",11003000,politics - election,1,0.098612644
"Hope she reveals incriminating information about the activities at CNN!

",14024000,social issue - people,1,0.05143589
"Off topic, but why does Fox News seem afraid to discuss the election fraud?",14024000,social issue - people,1,0.05043449
Sorry but there is not one influential man at CNN they are all disgusting phony people.,No categories found,,,
Spot on!,No categories found,,,
bwahahah!!!,No categories found,,,
I’d watch cnn if zucker transitions 😹,No categories found,,,
"I am deceased!!🤣🤣🤣 Love the Tuckster!!
Ticket For President!! 💯👆😻",11006006,politics - government - heads of state,1,0.116250336
"It's not the ""men"" t CNN'S fault because they're not men 🤣😂🤣",No categories found,,,
Freddo is about as masculine as Freddo. Lemon and Anderson? Masculine? More like fairies.,No categories found,,,
"""As we say in the female community"" - I laughed so hard at that, I had to pause it! I don't think anyone of us on here is shocked that cnn is a sausage fest.

",No categories found,,,
Nothing like when the Left get their own medicine handed back to them.,7007000,health - medicine,1,0.1132691
Lemon and Cooper are Men?Could have fooled me.,No categories found,,,
as well you should be. mmmhmmmm.,No categories found,,,
Best suggestion I have heard EVER!,No categories found,,,
Just assuming the gender of those around you is racist. I'll bet a few of them identify as fish. 🐡,14014000,social issue - racism,1,0.12830305
"Lol. Nothing new, nothing shocking. Lol! Jeff transitioning? Lol !",No categories found,,,
Cry me a river propaganda wh*re,No categories found,,,
"I think a lot of commentors have missed the point. CNN lectures against sexism, but apparently practices it. If all of those men are really these best people for those jobs, fine, but is it not a little suspicious that all of those positions are filled by men given their company's alleged views?",No categories found,,,
Get it Tuck!,No categories found,,,
Tucker is a HOOT !!!,No categories found,,,
Love watching Tucker.He makes me laugh 😅,8002000,human interest - curiosity,1,0.11651025
😂 hilarious 🤣,No categories found,,,
i love Tucker..this is great,No categories found,,,
"That's absolutely hilarious. Thanks for the laugh, Tucker.",No categories found,,,
"Seems like a classic case of ""Do as I say not as I do""",1026004,"arts, culture and entertainment - mass media - reviews",1,0.07010773
The fat 1 said she can take care of herself 🤭 😂😂😂😂,No categories found,,,
It’s always the ugly girls 🤣,14024000,social issue - people,1,0.054223236
Some of these people are stupid as hell 😭😂especially the girls,14024000,social issue - people,1,0.052665994
"What a bunch of dorks, they can't even express a single decent opinion.",No categories found,,,
Looks like woke Brits are as clueless as woke Americans.,No categories found,,,
She did great finding all these rejects and exposing their views to the world 🔥,No categories found,,,
"This is shocking.. everyone just sheep.. I like him, he speaks facts",No categories found,,,
How can humans be this brain dead?? The interviewer literally destroyed them and proved them wrong,No categories found,,,
"It's a trend, only beautiful women like Andrew Tate.",No categories found,,,
She’s amazing,No categories found,,,
These people's brains look like there about to explode.,3014001,disaster and accident - emergency incident - explosion,1,0.08797894
Big fan of Layah. Probs to her for doing this.,15054000,sport - soccer,1,0.10015041
everything andrew had said is true. and tbh it is very easy to lie to a woman. it is easy to get woman to believe in something that isn't true. they're submissive creatures and easier to get them the other side compared to a actual well thinking man.,1009000,"arts, culture and entertainment - library and museum",1,0.057827953
That girl is fit,14024001,social issue - people - children,1,0.0970632
Edits are 🔥,No categories found,,,
I started watching some of Andrew's stuff because my 18 yr old daughter was telling me what a misogynistic guy he was. i watched some of his videos in full because of this. I thought a lot of his view points were good. I love being married to a strong masculine man who protects our family. I like that Andrew is encouraging the masculine in young men again. we need our strong men to keep our countries strong. I don't listen to him a lot because I'm not his target market not interested in fast cars and hot chicks haha. he's doing a great job,14006000,social issue - family,1,0.11669989
How is that fat whale running away from a knife???????????,No categories found,,,
always the 10s defending tate,No categories found,,,
"That chick was saying run as fast as you can, she hasn't ran in 15 years 😂.

Tate brothers🫡, mad love and appreciation.",8006000,human interest - award and prize,1,0.086102925
"The 350 lbs girl says no man will own her, what man even wants to talk to you in the first place?",No categories found,,,
fat people talking about taking care of themselves is so funny,1026003,"arts, culture and entertainment - mass media - newspapers",1,0.05411259
No one wants the first hippo on the left… big bitch,No categories found,,,
"I hope rumble takes over youtube, it’s already better",8002000,human interest - curiosity,1,0.06606019
"Forgive me god for saying this: ""Of course she doesn't like Andrew Tate.. she's fat af...""",No categories found,,,
All these ugly ass women don’t like Tate. Figures.,14024000,social issue - people,1,0.058783606
“I can take care of myself thank you very much” Except for your body you fat bitch,No categories found,,,
That fat thing at the start will never find anyone of any kind of respect,15054000,sport - soccer,1,0.067546494
I mean just look at that fat 300lb silverback gorilla feminist 😂 clearly can’t take care of herself,No categories found,,,
