Text,Code,Label,Rank,Relevance
"Black chick was SO frustrating. I wouldn't have been able to maintain a respectful attitude once she said ""You need to do your research then and blah blah"" because this dumb b*tch didn't do a damn bit of research and still kept arguing about how she ""feels"" for like 15 minutes before that point.",No categories found,,,
"I am former military. I have many friends that are former, and active. There is a hidden hatred on the special treatment that women get in the branches. That could be why recruitment is low with men? I have had a few people tell me some of the unawarded medal's given to women, just because they are women. Women being sent back to barrack's, while the men stay out in the field, during training mission's. The military spent MANY years building up pride, tradition, valor, and honor. Completing a rigorous training, with your fellow (in my case, shipmates), the teamwork, trust, loyalty, creates something magical. A brotherhood. You need to have that confidence, when in a combat situation. Knowing the females slid in, with lower standards, ruins that. There is no respect. It seems that outside interest's, are manipulating our inner working's of the military, to make us weaker?",BusinessAndFinance>Business,Business and Finance>Business,1,1
Where is Hotlips Houlihan,No categories found,,,
Commenting as a female Army veteran I agree. What we can do are the support jobs (I was a military journalist) to free up the men for combat. It's hard enough in the military with the female-male dynamic without adding combat to the equation.,NewsAndPolitics,News and Politics,1,1
let's go!!,No categories found,,,
"My sister was a Police officer for 20 years. She had to pass the exact same physical testing that a man would have, or she was out. Thats the way it should be and unfortunately it isnt anymore",No categories found,,,
"First some of these people go round and round contradicting themselves trying to look like the smartest person at the table. I don't know how Steven doesn't lose it. Second, I was in the military. There is no way women should be in combat or in the elite forces. Not just based on physical strength but also because men have an inherent impulse to protect women at all costs.",No categories found,,,
"I was in the military. I retired from it and I have no respect for women in the military. They are smart and capable of many things men can't do. But the ripe the moral and cohesion of every unit they are present including the legal career ending risks of an unsubstantiated accusations that have destroyed hundreds if not thousands of careers of men. Here is one reason among many, women lie. Yes they do and for very selfish reasons. I have seen them gang up on a guy they don't like with lying to get them court martialed out of the service. As well as lying about being pregnant or getting pregnant to get out of a deployment. I was on a ship that had berths for 30 women. We routinely got underway of deployment with only one woman. This doubles and triples the load on the men. We were routinely sleep deprived. We would return to base, the women left at home come back and still got sea pay for staying home. Not fair. In addition, any woman in the room outranks every male nt matter what their rank. They also enlist men and boys to help women do their jobs. They are a distraction to the mission as the point of all missions devolves into protecting the woman. Mission be damned. This is not including the demographic destruction of the population by putting child bearing aged women at risk. Women have one kid at a time. Society needs more women than men to keep thier population. By putting women into an early grave to win a war you lose the demgraphic war, which is the same as losing.",Careers,Careers,1,1
"Letting someone into a position based on religion, sex, blah blah is the same discrimination as turning someone away. The constitution protects the institution as well as the citizen. An employer does not have to hire you because you are a black gay jewish combat lesbian.",BusinessAndFinance,Business and Finance,1,1
"Her: ""Im not going to believe anything you say until I see that statistics""

Steven: ""Oooook""

In her mind: O no!",202 - Engine internal error,,,
The red hair black girl is like so many ppl these days. Doesnt like the statement Steven presented. Unwilling to listen and reason,202 - Engine internal error,,,
"I was in the military, women should have very limited roles in the military. We were deploying to Iraq, walking off the c5 in country and a woman in our company couldn’t carry her own bags. We were all carrying a ruck sack, a weapon, and 2 duffle bags. She couldn’t carry her own shit. All her stuff got carried by the guys carrying their own shit. She walked around with her weapon.",202 - Engine internal error,,,
"That second girl, Ploy...my God. She just talked around the fundamental issue - men are bigger, stronger, and faster. No amount of training will overcome that gap. And we haven't even talked about group cohesion. According to studies from the military, all male units accomplish tasks faster than male/female units.",202 - Engine internal error,,,
The problem is.gov programs replacing fathers with zero accountability for destructive female behavior.,202 - Engine internal error,,,
the problem with modern women is 4s think they are 14s and they deserve the top 1% of men instead of a good man,202 - Engine internal error,,,
"Women today do not know what a woman is supposed to be, they are to busy trying to be like men.",202 - Engine internal error,,,
"Media has taught women that they have been steamrolled for years and they must dominate. They honestly feel that they are everything and men should fight to the death just to be in there presence. In short...they are full of themselves and see themselves as an object that all men desire. This of course is a generalization. I know wonderful women that absolutely deserve to be treated like a queen. BUT they are always married, and happily married I might add. Women are like parking spots at Walmart. All the good ones are taken and all that is left is the handicapped.",202 - Engine internal error,,,
Never go to Hawaii with a woman who forgets her bi-polar meds .,202 - Engine internal error,,,
If you think 22-32 can pass quickly----wait until you are 60 and al of a sudden you're 80! A lifetime passes so very quickly it's unimaginable!,202 - Engine internal error,,,
The guest is a feminist as well with her high status requirements. Their isn't enough top 5-10% chads to go around.,202 - Engine internal error,,,
"On Thanksgiving the topic came up at the table why I'm not married yet(40, and very stable), because my mom really wants grandchildren, and it's next to impossible to explain to a table of elders that modern women are just intolerable.",202 - Engine internal error,,,
"On a single sheet of paper, define yourself in two ways: 1) Who do you credibly intend to be as a person? 2) What do you credibly intend to do with your life, in general terms? If you do this well, and live out your life in accord with your personal mission statement, you will have plenty of opportunities with other quality people. Choose wisdom. Choose honor. Choose integrity.",No categories found,,,
Modern women have this obsession with dressing like prostitutes. Can't watch a video without seeing these sleazy women wearing their tank tops exposing as much flesh as they can. Modern women have lost any and all feminine beauty! A big part of feminine beauty is modesty which is completely lost on the whores that make up the bulk of our society.,Style&Fashion>Beauty,Style and Fashion>Beauty,1,1
"The Establishment Media is out to break Humanity any way they can, driving people apart and making us easier to control by a tiny elite class of.... aristocrats. Yes, the same old crap has risen once again. IMHO, it is not Marxism that is the foundation of the Left, it is FEAR. Fear of the people all around them. This is why ordinary people are portrayed as dumb, panicky beasts on TV and in movies. This is why CRT is used to kids fear & despise each other AND feel bad about themselves based on the color of their skin. The Establishment is trying to make us see each other the same way they do; monsters. This insanity only gets worse and louder, and making Women & Men repulsive to each other is one of their oldest tricks. It also discourages reproduction, and this kind of Malthusian evil is so near & dear to Leftists that they just go right along with it. A serious problem is right in our faces, and anyone will be lucky to get through the next 5 years alive.",Television,Television,1,1
jedediah...what is your take on election fraud?,NewsAndPolitics>Crime,News and Politics>Crime,1,1
"The problem with EVERYONE, is that the Media tells them what to think, and they're so lazy, that they consent to mental slavery.",No categories found,,,
"Ladies... men ARE masculine but hide it because it's, as you stated, negatively viewed by society.",No categories found,,,
Women used to subtlely build their men into greatness but now they often browbeat them into submission! :-(,No categories found,,,
"Biden's SEC is corrupt too Does it not seem strange google, Amazon, twitter ... were not bothered by the sec: all woke companies but Elon who owns twitter wanting to make it non woke and trump who has truth social non woke are both under attack from the sec",Technology&Computing,Technology and Computing,1,2
"I think women watch and listen to too much media and don't live in reality, the knight on the White horse with the 6 figure salary ain't coming, especially to 35 and up women with a kid or kids and single men do not want to deal with women's kids and the trip their on. Life is too short, I'm single in my 50s, never been married, I almost was twice and I thank God it never happened! I would of been miserable, all my friends who got married are divorced and I would watch them fall apart and I was like this is not for me. It was the best decision of my life. I'm totally free and it's beautiful and I don't put up with anyone's bullshit, especially women who think they are a 10 on the outside but are a one on the inside.",Pets>LargeAnimals,Pets>LargeAnimals,1,1
"Next episode ""The Problem with Modern Man"" I look forward to seeing how High on the pedestal you put yourself... Humans, You have much to learn, it's embarrassing! Beings from the Billions of other Universes see how dumb carbon units are! UGH! YOUR NOT TRANSCENDING you're transforming.... Men to Women Women into Men & Now Mutilation of the Children! Sick Lot! GREAT! 😖",Home&Garden,Home and Garden,1,1
Their problem is that modern women want to be entitled women with what they think are men's benefits without having to actually earn anything!,No categories found,,,
"I don't think that men need to, as you say, ""get in the gym"". I think men just need to be men. And women just need to be women. It's not a competition, just be who you are.

",No categories found,,,
"Wife walks into a lawyers office and says she wants a divorce. Lawyer says, ok here's what you need to do in order to reap the most alimony, and for at least six months. Make him breakfast and dinner every day. Press his clothes. Meet him at the door coming home from work, and cater to his every need and demand being overly attentive. She agrees.

Six months later she went back to the office, lawyer asks if she's ready ~ to which she replied No Way! I would never divorce such a perfect man and I've never been more happy in my life!

There's a moral to this story.",Food&Drink,Food and Drink,1,1
"Women are losing there virginity for stupid reasons, then being alone in their last 50-60 yrs. They should sell it for 5 million bucks to a guy and possibly marry him and have his children and be happy for her life, but whatever.",No categories found,,,
I wouldnt feel bad at all for these ignorant people. if they just sit there and shovel a bunch of garbage into their mind without actually doing their own research they deserve it!,No categories found,,,
"Layah, thank you for not wearing fake eyelashes. It brings credibility to you.",No categories found,,,
"Problem With Modern Women. Major problem is that in today's society, modern women is that they are lazy and are not dating enough in develop the proper people skills when determining how to find the right man. Instead, they rely on phony characteristics such as wealth, fame, status and power as factors instead of compatibility.",FamilyAndRelationships>Dating,Family and Relationships>Dating,1,2
Who is Andrew Tate? I just can't follow this show. 😕,No categories found,,,
"The more I hear them talk, the more I think ""social Darwinism"". Survival of the fittest. The weak be damned. This is a problem in our society on both sides. Hear me out. Both sides traffic in what I have heard called ""blank slate theory"". It basically means, we all start out a blank slate and we can do anything we put our minds to. The world is your oyster. The left's version: We're all a blank slate. So any difference in outcome must AUTOMATICALLY be attributed to externalities. Systems of oppression is the latest one. Regardless, it is NEVER the individual and ALWAYS the externality. The right's version: We're all a blank slate. So any difference in outcomes must AUTOMATICALLY be attributed to the individual. You are lazy. You are weak. You make excuses. You are entitled and spoiled. Mental illness is just an excuse. You weren't (as the guest said) willing or able to ""put in the work"" to be the alpha, confident prototype man they are describing. Never the externalities. ALWAYS the individuals fault except in the rarest of cases like birth defects or severe trauma, illness or injury outside of your control. The problem is they are BOTH RIGHT...SOMETIMES. But it is the times when they are wrong that does damage to people who are either legitimately impaired by mental illness or are actually being legitimately disenfranchised by a person, persons or systems gone wrong. That number grows and grows until you have what we see in society. Chaos. A breakdown of what used to work. Late capitalism the left calls it. Oligarchic, corporatist totalitarian fascism is what say. Not every man OR woman has the capacity to do or be what these two are talking about. And it is almost like they are describing people unworthy of love and companionship because they are ""less than"" or ""unworthy"". Gee, I wonder why some people hate conservatives. Shocking. And yes I could say the EXACT same thing about the left for different reasons. The reason they are hated is well-earned too.",MedicalHealth>DiseasesAndConditions,Medical Health>Diseases and Conditions,1,1
Body count of 15 or 20 for women??? Don't kid yourselves ... more like 100+ and plenty in their mid-20s; lots of self-admittance online confirming this!,No categories found,,,
"Ok, here's some ""steel, sharpening steel"" here. Laylah, you mentioned the importance of not wearing too much makeup, as expressed by your brother -with your agreement. But after hearing you drop the F bomb, so casually, several times during the interview, I turned off said interview. You see, there are many, quality men who may even overlook the application of an excessive amount of makeup, but for whom the nonchalant use of foul language may actually be the real deal breaker.",No categories found,,,
These two women have no idea how not traditional they are.,No categories found,,,
have to look up Andrew Tate! never heard of him.,No categories found,,,
"Women are powerful. Our power comes from our influence. We can make a man get weak at the knees. we can make a man cheat. We can make a man cut his hair as in Samson. We can use our influence to make men better or make them weaker. Today's women want to emasculate men, just like woman with Samson. But we can also use our power to make the world a better place.",No categories found,,,
"You women claiming there aren't any good man, 'modern women' are foolishly against men while claiming men should be like Tate (because he's rich and in shape or ""manly""); makes you no better than the modern woman... ""men should learn from Tate""...? really? Tate is a selfish person, granted alpha, but you want that for yourself? more rich men sleeping around with ""16 women""(A. Tate) a week? You're making the same agreement as modern woman with a slight ""pick me"" hint. This is the reason men haven't listen to women since Adam and Eve.",EventsAndAttractions>Museums&Galleries,Events and Attractions>Museums and Galleries,1,1
Layah Heilpern is delightful. Maybe the worm is finally turning. The last few decades have sucked for white men especially.,No categories found,,,
male emotions are like female sexuality . what one gender wants from the other but a turn off if to open with them,No categories found,,,
what about married women who don't enjoy sex,No categories found,,,
the how emotional connection affect male sexual desire,No categories found,,,
ever heard of spontaneous arousal syndrome in women,MedicalHealth>DiseasesAndConditions,Medical Health>Diseases and Conditions,1,1
The same questions would show the ignorance of people regarding President Donald Trump.,NewsAndPolitics>Politics,News and Politics>Politics,1,1
Both of them are beautiful perky pistols of women! Not a lot of them left in the world! :-),Style&Fashion>Beauty,Style and Fashion>Beauty,1,1
"Thank you for your depth of comprehension, regarding the WEF, and the necessity for national sovereignty. US Cultural Ambassador Darryl John Kennedy https://rumble.com/v1waibu-darryl-john-kennedy-message-to-americans-november-22-2022.html",No categories found,,,
nice job gals.,No categories found,,,
The problem with modern women is modern men …,No categories found,,,
"I always looked gay, I was never rich as I was focused on my spiritual inner self first. Now at 65 I have it all, house car 5/10, great smile, done a bunch of things in my life. All the girls that left me were not red pilled, and are totally wishing they could have me back.",Automotive,Automotive,1,1
Women are equipped to be hoes.,No categories found,,,
Repulsive right out of the gate.,No categories found,,,
"I personally believe it’s not just a social demographic issue of brainwashed men. There’s a lot of reasons that impact a man’s masculinity. By this, I mean there are also biological factors that effect men physiologically such as chemical infested foods, estrogen in the water, plastics, normalizing low levels of testosterone, pornography, etc. Not only are men targeted psychologically but also biologically as mentioned. People target only the psychological aspect but don’t look how nutrition can massively influence the state of mind in a person. With all this estrogen rising through foods, self-care products, and household items is not just causing hormonal imbalances but also detrimental results on overall health I.E. fertility, developmental problems, and cancer.",HealthyLiving>Nutrition,Healthy Living>Nutrition,1,2
When propaganda comes women are the first to fall. True!!! (not all women though),No categories found,,,
Blabba lab a dabba jabber jabber jabber blabber..,No categories found,,,
The problem with modern day women is they dont know what men really think of them. Otherwise they would all be lesbians .,No categories found,,,
"the left claims to champion women's rights, it took you long enough to figure out they are full of shit",No categories found,,,
why you stay 10 years? why not leave sooner if you felt so strongly about it? the answer is greed.,No categories found,,,
"CNN has men? The ""male"" anchors there are homosexuals.",Television,Television,1,1
Love tucker!,No categories found,,,
Every white man at CNN should resign and give his job to a minority woman. I'll wait...,Television,Television,1,1
LOL. I'm glad Carlson maintains his sense of humor. Nobody should watch that CNN propaganda network. No one in America anyway.,Television,Television,1,1
OMG! Tucker is a savage. Nailed the stupidity better than anyone ever could. epic,No categories found,,,
spot on with your commentary these people are frauds and grifters for the communist left its fun to watch these people eat there own ibet in ten years shes a millionare and loving every minute of it useful idiots the lot of them,NewsAndPolitics>Crime,News and Politics>Crime,1,1
"A couple of months ago, a female anchor of 22 years in Phoenix, decided she couldn't take it anymore. She cited blatant lying and fear-mongering, on the part of the media elites, as her reason for leaving. Most in the media are not this brave. I wish they were.",No categories found,,,
CNN Is A Full Stank Septic Tank .,Television,Television,1,1
"""Ur damn right baby"" lmfao",No categories found,,,
Don't watch it.,No categories found,,,
"only Tucker can do this, this well",No categories found,,,
Tucker Carlson is hilarious! 🤣 Communist News Network is run by men because everything is run by men.,No categories found,,,
OK - is it a SIGN OF THE TIMES THAT I AM LAUGHING WAAAAAAY TOO MUCH AT THIS? Well it is either LAUGH or Cry these days and I would rather LAUGH when I get the chance. I have not listened to CNN for years..,Television,Television,1,1
"😂🤣😂 Tucker my man, you lit them up 😂🤣😂",No categories found,,,
omg this was great,No categories found,,,
I hate CNN.,Television,Television,1,1
Tucker For President,NewsAndPolitics>Politics,News and Politics>Politics,1,1
"Jussie Smollett, Don Lemon and Bubba Wallace all work for China News Network..",No categories found,,,
"Two comments. First of all, Brooke Baldwin is a man-hating Marxist propagandist. Because she is not a journalist, she is entirely incompetent to fill the role of a journalist. Second comment. The posit on Zucker isn't that far off. I mean just really, I imagine that all leftist male filth are not only beta male submissives but actually look themselves in the mirror every morning and ask the question is this the day I ""transition"" to a female.",No categories found,,,
"Weird!! Most of the so called men on CCPCNN are homosexuals, and Mr. Potato-head is a closet homosexual.",No categories found,,,
Brooke Baldwin's new book coming soon and she gets 4mil up front lol just a prediction.,202 - Engine internal error,,,
"""MY MOTHER IS A MAN.""
""MY CAT IS A MAN.""

Doctors say her physical ailment is Advanced Special Snowflake Disorder with complications due to Participation Trophy Syndrome.",202 - Engine internal error,,,
"So what? Get over it. At least you have a job and your protected by a bunch of corrupt people. Get lost, we don't want to hear your problems. The real problems is the stolen election and what's happening at the border.",202 - Engine internal error,,,
"Hope she reveals incriminating information about the activities at CNN!

",202 - Engine internal error,,,
"Off topic, but why does Fox News seem afraid to discuss the election fraud?",202 - Engine internal error,,,
Sorry but there is not one influential man at CNN they are all disgusting phony people.,202 - Engine internal error,,,
Spot on!,202 - Engine internal error,,,
bwahahah!!!,202 - Engine internal error,,,
I’d watch cnn if zucker transitions 😹,202 - Engine internal error,,,
"I am deceased!!🤣🤣🤣 Love the Tuckster!!
Ticket For President!! 💯👆😻",202 - Engine internal error,,,
"It's not the ""men"" t CNN'S fault because they're not men 🤣😂🤣",202 - Engine internal error,,,
Freddo is about as masculine as Freddo. Lemon and Anderson? Masculine? More like fairies.,No categories found,,,
"""As we say in the female community"" - I laughed so hard at that, I had to pause it! I don't think anyone of us on here is shocked that cnn is a sausage fest.

",Television,Television,1,1
Nothing like when the Left get their own medicine handed back to them.,MedicalHealth>PharmaceuticalDrugs,Medical Health>Pharmaceutical Drugs,1,1
Lemon and Cooper are Men?Could have fooled me.,No categories found,,,
as well you should be. mmmhmmmm.,No categories found,,,
Best suggestion I have heard EVER!,No categories found,,,
Just assuming the gender of those around you is racist. I'll bet a few of them identify as fish. 🐡,No categories found,,,
"Lol. Nothing new, nothing shocking. Lol! Jeff transitioning? Lol !",No categories found,,,
Cry me a river propaganda wh*re,No categories found,,,
"I think a lot of commentors have missed the point. CNN lectures against sexism, but apparently practices it. If all of those men are really these best people for those jobs, fine, but is it not a little suspicious that all of those positions are filled by men given their company's alleged views?",Careers>JobSearch,Careers>Job Search,1,1
Get it Tuck!,No categories found,,,
Tucker is a HOOT !!!,No categories found,,,
Love watching Tucker.He makes me laugh 😅,No categories found,,,
😂 hilarious 🤣,No categories found,,,
i love Tucker..this is great,No categories found,,,
"That's absolutely hilarious. Thanks for the laugh, Tucker.",No categories found,,,
"Seems like a classic case of ""Do as I say not as I do""",No categories found,,,
The fat 1 said she can take care of herself 🤭 😂😂😂😂,No categories found,,,
It’s always the ugly girls 🤣,No categories found,,,
Some of these people are stupid as hell 😭😂especially the girls,No categories found,,,
"What a bunch of dorks, they can't even express a single decent opinion.",No categories found,,,
Looks like woke Brits are as clueless as woke Americans.,No categories found,,,
She did great finding all these rejects and exposing their views to the world 🔥,No categories found,,,
"This is shocking.. everyone just sheep.. I like him, he speaks facts",No categories found,,,
How can humans be this brain dead?? The interviewer literally destroyed them and proved them wrong,No categories found,,,
"It's a trend, only beautiful women like Andrew Tate.",Style&Fashion>Beauty,Style and Fashion>Beauty,1,1
She’s amazing,No categories found,,,
These people's brains look like there about to explode.,No categories found,,,
Big fan of Layah. Probs to her for doing this.,No categories found,,,
everything andrew had said is true. and tbh it is very easy to lie to a woman. it is easy to get woman to believe in something that isn't true. they're submissive creatures and easier to get them the other side compared to a actual well thinking man.,No categories found,,,
That girl is fit,No categories found,,,
Edits are 🔥,No categories found,,,
I started watching some of Andrew's stuff because my 18 yr old daughter was telling me what a misogynistic guy he was. i watched some of his videos in full because of this. I thought a lot of his view points were good. I love being married to a strong masculine man who protects our family. I like that Andrew is encouraging the masculine in young men again. we need our strong men to keep our countries strong. I don't listen to him a lot because I'm not his target market not interested in fast cars and hot chicks haha. he's doing a great job,Automotive,Automotive,1,1
How is that fat whale running away from a knife???????????,No categories found,,,
always the 10s defending tate,EventsAndAttractions>Museums&Galleries,Events and Attractions>Museums and Galleries,1,1
"That chick was saying run as fast as you can, she hasn't ran in 15 years 😂.

Tate brothers🫡, mad love and appreciation.",EventsAndAttractions>Museums&Galleries,Events and Attractions>Museums and Galleries,1,1
"The 350 lbs girl says no man will own her, what man even wants to talk to you in the first place?",No categories found,,,
fat people talking about taking care of themselves is so funny,No categories found,,,
No one wants the first hippo on the left… big bitch,No categories found,,,
"I hope rumble takes over youtube, it’s already better",No categories found,,,
"Forgive me god for saying this: ""Of course she doesn't like Andrew Tate.. she's fat af...""",No categories found,,,
All these ugly ass women don’t like Tate. Figures.,EventsAndAttractions>Museums&Galleries,Events and Attractions>Museums and Galleries,1,1
“I can take care of myself thank you very much” Except for your body you fat bitch,HealthyLiving>Nutrition,Healthy Living>Nutrition,1,1
That fat thing at the start will never find anyone of any kind of respect,No categories found,,,
I mean just look at that fat 300lb silverback gorilla feminist 😂 clearly can’t take care of herself,HealthyLiving>Nutrition,Healthy Living>Nutrition,1,1
"That don't like him because that is what they were told to do. Just like the Germans disliked Jews in the 30s, they were told Jews were bad so that is what they thought.",Religion&Spirituality>Judaism,Religion and Spirituality>Judaism,1,1
"Bruh that fat bitch is so angry, she's probably hungry for some Kfc",No categories found,,,
"The fatty who ""can take care of herself"" is what's wrong with society... She needs to take care a gym membership 😂",No categories found,,,
I'm gay and the gay people in these videos are fags,No categories found,,,
Interesting twist with a woman asking the questions 🙃,No categories found,,,
