Text,Form,Topic Category,Rank,Type,Theme,Frequency,Mentions,Sense ID
"It's all fun and games til it gets physical. Can women be great shots with their weapon? Absolutely! But combat is far more than being a good shot. All those women in superhero movies throwing men around... It's fiction for a reason. No 115 pound woman is going to throw around a 300 pound man. She would just bounce off of him. That's the facts. There is a reason for woman's tees at the gold course, women's PT test has (or at least had when I was in the Army) push-ups on their knees, etc. Finally, if a woman is captured in a war or military op, she is going to be raped. I'm a married man and love my wife. I also have a daughter. I am not anti-woman, just for common sense and protecting the women in my life.",300 pound,money expression,2,,,,300 pound,-
"the red hair lady when she say's ""ok"" drives me crazy ahhhhhh",lady,concept,1,Top>Person,,1,lady,3e8f3ff1de
Told my daughter when she started to express interest in the military that to join (with my blessing) she would have to be strong enough to lift me and carry me the length of a football field. She lost interest very quickly after that.,military,concept,1,Top>OtherEntity>Vocation,Top>Society>Militar,1,military,56aa640baa
Told my daughter when she started to express interest in the military that to join (with my blessing) she would have to be strong enough to lift me and carry me the length of a football field. She lost interest very quickly after that.,length,concept,2,Top>Unit>PhysicalExtentUnit,,1,length,566859a9e3
Told my daughter when she started to express interest in the military that to join (with my blessing) she would have to be strong enough to lift me and carry me the length of a football field. She lost interest very quickly after that.,length,concept,3,Top>Unit>PhysicalExtentUnit,Top>Technology>Nautical,1,length,f06dc65ae1
Told my daughter when she started to express interest in the military that to join (with my blessing) she would have to be strong enough to lift me and carry me the length of a football field. She lost interest very quickly after that.,soccer,concept,4,Top>OtherEntity>Doctrine>Sports,Top>Sport>Football,1,football,2b505fba8a
Told my daughter when she started to express interest in the military that to join (with my blessing) she would have to be strong enough to lift me and carry me the length of a football field. She lost interest very quickly after that.,field,concept,5,Top>Location>GeographicalEntity>LandForm>Valley,,1,field,0285de6337
Told my daughter when she started to express interest in the military that to join (with my blessing) she would have to be strong enough to lift me and carry me the length of a football field. She lost interest very quickly after that.,field,concept,6,Top>Location>GeographicalEntity>NaturalReserve,,1,field,5a7f9ecfa7
Told my daughter when she started to express interest in the military that to join (with my blessing) she would have to be strong enough to lift me and carry me the length of a football field. She lost interest very quickly after that.,interest,concept,7,Top,,1,interest,d7edfa67aa
I was on active duty in the Infantry when they started this experiment. I have said and still say the same thing except there is no changing my mind about it. as if the battlefield doesn't come with enough stress and unpredictability as it is. feelings are more important.,stress,concept,1,Top>OtherEntity>Disease,Top>LifeSciences>Medicine,1,stress,2289eb06d3
Hate to bring this up but not only would a woman in extreme danger in a combat scenario but they would almost be guaranteed to be raped if captured.,woman,concept,1,Top>Person,,1,woman,5eb64faa83
"Retired Army Officer, They where lowering the standards all the way back in the 90s for women. Airborne school for example use to be a serious gut check. But when I went through in 1993 it was a joke.. And the women where always in the front of the run group so we didn't drop them from the formation. The most worthless thing on the battlefield a pregnant female. Not deployable for 9 plus months.. great for readiness.",Army Officer,entity,1,Top,,1,Army Officer,__4145887397504962279
"Retired Army Officer, They where lowering the standards all the way back in the 90s for women. Airborne school for example use to be a serious gut check. But when I went through in 1993 it was a joke.. And the women where always in the front of the run group so we didn't drop them from the formation. The most worthless thing on the battlefield a pregnant female. Not deployable for 9 plus months.. great for readiness.",woman,concept,1,Top>Person,,2,"women, women",5eb64faa83
"Retired Army Officer, They where lowering the standards all the way back in the 90s for women. Airborne school for example use to be a serious gut check. But when I went through in 1993 it was a joke.. And the women where always in the front of the run group so we didn't drop them from the formation. The most worthless thing on the battlefield a pregnant female. Not deployable for 9 plus months.. great for readiness.",1993,time expression,1,,,,1993,-
"Retired Army Officer, They where lowering the standards all the way back in the 90s for women. Airborne school for example use to be a serious gut check. But when I went through in 1993 it was a joke.. And the women where always in the front of the run group so we didn't drop them from the formation. The most worthless thing on the battlefield a pregnant female. Not deployable for 9 plus months.. great for readiness.",9 plus months,quantity expression,1,,,,9 plus months,-
Does combat include jello/mud wrestling?,No topics found,,,,,,,
"One standard, change my mind",standard,concept,1,Top>Product,,1,standard,9ef5899dc6
"One standard, change my mind",One standard,quantity expression,1,,,,One standard,-
"Lower standards are ok for every role other than combat. This isn't a game, we are looking for killers plain and simple.",standard,concept,1,Top>Product,,1,standards,9ef5899dc6
"Lower standards are ok for every role other than combat. This isn't a game, we are looking for killers plain and simple.",match,concept,2,Top>Event>Occasion>Games,Top>Sport,1,game,8462e12559
"Lower standards are ok for every role other than combat. This isn't a game, we are looking for killers plain and simple.",plain,concept,3,Top>Location>GeographicalEntity>LandForm,,1,plain,eb803b302a
"All us Gen X girls were taught to bring home the bacon, fry it up in a pan…and wear shoulder pads in our clothes. Regardless, there’s no fkn way I could carry a wounded man to safety…and he would know it. It’s not fair to ask our soldiers to put their lives on the line without giving them a fighting chance to survive. Women are not physically strong enough to be in the foxhole with the guys. It’s not right. Thank you for this. Good God everyone has lost their minds",generation X,concept,1,Top,Top>SocialSciences>Sociology,1,Gen X,515b1ac17c
"""ok. ok. ok. ok. ok. ok. ok. ok.""... Jesus, does she know any other words?",Jesus,entity,1,Top>Person>FirstName,,1,Jesus,5bd372a97a
"I was infantry. I don't care if the PT standards are the same and some butch chick can pass them. A woman in a combat unit adds nothing to the combat readiness of that unit, that some other guy couldn't. She does however bring a great deal of negatives, and it doesn't matter if you don't like or agree. She is a distraction and a detriment to the unit cohesiveness. The job of combat arms is to close with and destroy the enemy by fire and maneuver. Not to coddle your feelings, or make sure some random woman can become a general easier by allowing her combat experience. Troop welfare has always been secondary to mission accomplishment. Get over it.",PT,entity,1,Top,,1,PT,__8997934369431373611
"I was infantry. I don't care if the PT standards are the same and some butch chick can pass them. A woman in a combat unit adds nothing to the combat readiness of that unit, that some other guy couldn't. She does however bring a great deal of negatives, and it doesn't matter if you don't like or agree. She is a distraction and a detriment to the unit cohesiveness. The job of combat arms is to close with and destroy the enemy by fire and maneuver. Not to coddle your feelings, or make sure some random woman can become a general easier by allowing her combat experience. Troop welfare has always been secondary to mission accomplishment. Get over it.",unit,concept,1,Top>Unit,,3,"unit, unit, unit",005e8177eb
"I was infantry. I don't care if the PT standards are the same and some butch chick can pass them. A woman in a combat unit adds nothing to the combat readiness of that unit, that some other guy couldn't. She does however bring a great deal of negatives, and it doesn't matter if you don't like or agree. She is a distraction and a detriment to the unit cohesiveness. The job of combat arms is to close with and destroy the enemy by fire and maneuver. Not to coddle your feelings, or make sure some random woman can become a general easier by allowing her combat experience. Troop welfare has always been secondary to mission accomplishment. Get over it.",woman,concept,2,Top>Person,,2,"woman, woman",5eb64faa83
"It was my dream to play for the Yankees,doesn’t mean the Yankees should lower their standards to let me join😂",dream,concept,1,Top,,1,dream,a35988f023
"It was my dream to play for the Yankees,doesn’t mean the Yankees should lower their standards to let me join😂",standard,concept,2,Top>Product,,1,standards,9ef5899dc6
"lots of ""I think"" and ""I Feel"" but no actual argument. Sorry kids, the worlds not nice",kid,concept,1,Top>Person,,1,kids,d9ad0b33c3
"lots of ""I think"" and ""I Feel"" but no actual argument. Sorry kids, the worlds not nice",world,concept,2,Top>Location>AstralBody>Planet,Top>NaturalSciences>Astronomy,1,worlds,5c053cd39d
Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay. Okay.,No topics found,,,,,,,
Kool-Aid haired black girl was the worst of them all.,Kool,entity,1,Top>Person>LastName,,1,Kool,5ec6cfe78c
Kool-Aid haired black girl was the worst of them all.,aid,concept,1,Top,Top>Society>SocialProtection,1,Aid,0d5e0d9c79
Kool-Aid haired black girl was the worst of them all.,black,concept,2,Top>OtherEntity>Color,,1,black,2408c36eb8
"I can't hear ""ok"" again",No topics found,,,,,,,
"I'm a woman, I am physically fit. I cannot manage one five gallon bucket of paint up a flight of stairs without lifting it to each step and then re-setting to struggle it to the next one. My husband can lift the same heavy bucket with one finger and walk straight up the deck stairs. In combat I'd be a liability, no matter how much I worked out. Fighter pilot yes, ground forces, hell no!",Fighter pilot,entity,1,Top>OtherEntity>Title,,1,Fighter pilot,__17561985683956601693
"I'm a woman, I am physically fit. I cannot manage one five gallon bucket of paint up a flight of stairs without lifting it to each step and then re-setting to struggle it to the next one. My husband can lift the same heavy bucket with one finger and walk straight up the deck stairs. In combat I'd be a liability, no matter how much I worked out. Fighter pilot yes, ground forces, hell no!",bucket,concept,1,Top>Product>Utensil>Container,,2,"bucket, bucket",41a315a34d
"I'm a woman, I am physically fit. I cannot manage one five gallon bucket of paint up a flight of stairs without lifting it to each step and then re-setting to struggle it to the next one. My husband can lift the same heavy bucket with one finger and walk straight up the deck stairs. In combat I'd be a liability, no matter how much I worked out. Fighter pilot yes, ground forces, hell no!",stairs,concept,2,Top>Product,,2,"stairs, stairs",e4372231b1
"I'm a woman, I am physically fit. I cannot manage one five gallon bucket of paint up a flight of stairs without lifting it to each step and then re-setting to struggle it to the next one. My husband can lift the same heavy bucket with one finger and walk straight up the deck stairs. In combat I'd be a liability, no matter how much I worked out. Fighter pilot yes, ground forces, hell no!",ground forces,concept,3,Top,Top>Society>Militar,1,ground forces,1b67a6130d
"I'm a woman, I am physically fit. I cannot manage one five gallon bucket of paint up a flight of stairs without lifting it to each step and then re-setting to struggle it to the next one. My husband can lift the same heavy bucket with one finger and walk straight up the deck stairs. In combat I'd be a liability, no matter how much I worked out. Fighter pilot yes, ground forces, hell no!",one finger,quantity expression,1,,,,one finger,-
"""I feel like"" facts don't give a shit about how you feel",No topics found,,,,,,,
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",INCRDIBLY,entity,1,Top,,1,INCRDIBLY,__4152896140569656743
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",military,concept,1,Top>OtherEntity>Vocation,Top>Society>Militar,1,military,56aa640baa
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",transition,concept,2,Top,,1,transition,4656da6fe7
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",female,concept,3,Top,Top>LifeSciences>Biology,1,females,b2925f6df6
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",arm,concept,4,Top>LivingThing>BodyPart,Top>LifeSciences>Anatomy,1,arms,24cdb52d12
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",toilet,concept,5,Top>Location>Facility,,1,bathroom,37e71ed416
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",medical,concept,6,Top,Top>LifeSciences>Medicine,1,medical,d2eba845f0
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",man,concept,7,Top>Person,,1,man,20a218cbdf
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",forest,concept,8,Top>Location>GeographicalEntity>LandForm>Forest,,1,woods,713dbfbcba
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",high,concept,9,Top,Top>Arts>Music,1,high,20b86b5130
"As someone who was in the military during the transition of females into combat arms, it made things INCRDIBLY difficult and reduced our capabilities. Disregarding the physical fitness aspect, when deployed having to accommodate the different sleeping, bathroom, showering, and medical needs in itself was highly taxing. You can drop a man off in the woods and leave them for a good amount of time with little needs, but for them ""high maintenance"" was an understatement. And to be clear, it wasnt all about them demanding it but what was mandated.",maintenance,concept,10,Top,,1,maintenance,80eedcedc6
They have definitely succeeded in dumbing down the younger generations. They are so uninformed and ignorant to reality. It's all about their feelings.,No topics found,,,,,,,
"Ok, so Shirley from What’s Happening with the red hair is hearing Crowder But not listening! She is already getting emotional which proves the biggest difference between men and women! And the men she is referring to that are “emotional”are girly boys!!! And to get upset about calling our military BEASTS, come on!!! That is a good thing!",Shirley,entity,1,Top>Person>FirstName,,1,Shirley,3b36839bfc
"Ok, so Shirley from What’s Happening with the red hair is hearing Crowder But not listening! She is already getting emotional which proves the biggest difference between men and women! And the men she is referring to that are “emotional”are girly boys!!! And to get upset about calling our military BEASTS, come on!!! That is a good thing!",Shirley,entity,2,Top>Location>GeoPoliticalEntity,,1,Shirley,eb7c45ef11
"Ok, so Shirley from What’s Happening with the red hair is hearing Crowder But not listening! She is already getting emotional which proves the biggest difference between men and women! And the men she is referring to that are “emotional”are girly boys!!! And to get upset about calling our military BEASTS, come on!!! That is a good thing!",man,concept,1,Top>Person,,2,"men, men",20a218cbdf
"I want to bring another point to the argument. I’m a woman who served in Iraq (not in a combat role) and worked with a man who was in a convoy with a female. The enemy found out she was there, and targeted her. The objective was to demoralize the men and unfortunately, it worked. She was taken out and they were weaker because of it. My best friend (female) who served in Iraq went to dinner downtown and someone attempted to kidnap her. She only got away because her driver was special forces, knew the roads and was trained to handle this particular situation. In certain trainings they simulate torture and often separate women, but not fully out of earshot of the men, so they can hear what’s happening and break their spirits. I would argue it’s not even enough to match the men physically because women become targets in multiple ways. I’m not sure what that would look like for a female physically, but there is a mental aspect in war that is put upon men that just isn’t worth it in my opinion.",Iraq,entity,1,Top>Location>GeoPoliticalEntity>Country,,2,"Iraq, Iraq",78d198e6a3
"I want to bring another point to the argument. I’m a woman who served in Iraq (not in a combat role) and worked with a man who was in a convoy with a female. The enemy found out she was there, and targeted her. The objective was to demoralize the men and unfortunately, it worked. She was taken out and they were weaker because of it. My best friend (female) who served in Iraq went to dinner downtown and someone attempted to kidnap her. She only got away because her driver was special forces, knew the roads and was trained to handle this particular situation. In certain trainings they simulate torture and often separate women, but not fully out of earshot of the men, so they can hear what’s happening and break their spirits. I would argue it’s not even enough to match the men physically because women become targets in multiple ways. I’m not sure what that would look like for a female physically, but there is a mental aspect in war that is put upon men that just isn’t worth it in my opinion.",man,concept,1,Top>Person,,5,"man, men, men, men, men",20a218cbdf
"I want to bring another point to the argument. I’m a woman who served in Iraq (not in a combat role) and worked with a man who was in a convoy with a female. The enemy found out she was there, and targeted her. The objective was to demoralize the men and unfortunately, it worked. She was taken out and they were weaker because of it. My best friend (female) who served in Iraq went to dinner downtown and someone attempted to kidnap her. She only got away because her driver was special forces, knew the roads and was trained to handle this particular situation. In certain trainings they simulate torture and often separate women, but not fully out of earshot of the men, so they can hear what’s happening and break their spirits. I would argue it’s not even enough to match the men physically because women become targets in multiple ways. I’m not sure what that would look like for a female physically, but there is a mental aspect in war that is put upon men that just isn’t worth it in my opinion.",woman,concept,2,Top>Person,,3,"woman, women, women",5eb64faa83
"I want to bring another point to the argument. I’m a woman who served in Iraq (not in a combat role) and worked with a man who was in a convoy with a female. The enemy found out she was there, and targeted her. The objective was to demoralize the men and unfortunately, it worked. She was taken out and they were weaker because of it. My best friend (female) who served in Iraq went to dinner downtown and someone attempted to kidnap her. She only got away because her driver was special forces, knew the roads and was trained to handle this particular situation. In certain trainings they simulate torture and often separate women, but not fully out of earshot of the men, so they can hear what’s happening and break their spirits. I would argue it’s not even enough to match the men physically because women become targets in multiple ways. I’m not sure what that would look like for a female physically, but there is a mental aspect in war that is put upon men that just isn’t worth it in my opinion.",female,concept,3,Top,Top>LifeSciences>Biology,3,"female, female, female",b2925f6df6
"Lets get ready to Rumble!!!love this. I agree with you, Steven 100%",Steven,entity,1,Top>Person>FirstName,,1,Steven,db72424905
"Lets get ready to Rumble!!!love this. I agree with you, Steven 100%",agree,concept,1,Top,Top>Humanities>Linguistics,1,agree,3600247eda
"Lets get ready to Rumble!!!love this. I agree with you, Steven 100%",Steven 100%,quantity expression,1,,,,Steven 100%,-
"So it breaks down to the same argument as always... Steven has stats and facts, people who disagree have feelings.",Steven,entity,1,Top>Person>FirstName,,1,Steven,db72424905
"So it breaks down to the same argument as always... Steven has stats and facts, people who disagree have feelings.",people,concept,1,Top>Person,,1,people,0e4a93483a
There is a reason that back in the day only men were in combat roles. We have pussified our country and military in the name of equality and its pathetic we go along with it.,man,concept,1,Top>Person,,1,men,20a218cbdf
There is a reason that back in the day only men were in combat roles. We have pussified our country and military in the name of equality and its pathetic we go along with it.,country,concept,2,Top>Location>GeoPoliticalEntity>Country,,1,country,35229605d1
